,place,movie_title,rating,year,star_cast
0,1,The Shawshank Redemption,9.235688734116847,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
1,2,The Godfather,9.155927741754791,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
2,3,The Dark Knight,8.991291403068171,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
3,4,The Godfather Part II,8.983816541580405,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
4,5,12 Angry Men,8.952839274628275,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
5,6,Schindler's List,8.939742101408557,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
6,7,The Lord of the Rings: The Return of the King,8.93193841508306,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
7,8,Pulp Fiction,8.846634866485209,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
8,9,The Lord of the Rings: The Fellowship of the Ring,8.810743064875624,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
9,1," Il buono, il brutto, il cattivo",8.789317694072405,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
10,11,Forrest Gump,8.766808296403244,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
11,12,Fight Club,8.747953441503602,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
12,13,The Lord of the Rings: The Two Towers,8.736293465303495,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
13,14,Inception,8.73271918920841,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,15,The Empire Strikes Back,8.698598296675062,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
15,16,The Matrix,8.669200440773295,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
16,17,GoodFellas,8.6529739975179,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
17,18,One Flew Over the Cuckoo's Nest,8.6382215963506,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
18,19,Se7en,8.604544755593118,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
19,20,Shichinin no samurai,8.59779210894257,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
20,21,It's a Wonderful Life,8.597573406297307,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
21,22,The Silence of the Lambs,8.588333935320183,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
22,23,Saving Private Ryan,8.579536401030778,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
23,24,Cidade de Deus,8.579387110839217,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,25,Interstellar,8.570983085579574,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
25,26,La vita è bella,8.568582520958604,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,27,The Green Mile,8.56330700103179,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,28,Star Wars,8.548158643737413,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
28,29,Terminator 2: Judgment Day,8.537903207687163,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
29,30,Back to the Future,8.517793778874832,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
30,31,Sen to Chihiro no kamikakushi,8.515963085612988,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
31,32,The Pianist,8.507539979207522,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
32,33,Psycho,8.506449412380165,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,34,Gisaengchung,8.499816890869235,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
34,35,Léon,8.493272324259832,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,36,The Lion King,8.487927308519811,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
36,37,Gladiator,8.486984332290163,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
37,38,American History X,8.481735683870943,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
38,39,The Departed,8.476159846577097,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
39,40,The Usual Suspects,8.469531843646278,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,41,The Prestige,8.46919381901694,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
41,42,Whiplash,8.468435622470267,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
42,43,Casablanca,8.461528947318925,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,44,Hotaru no haka,8.456085848050446,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
44,45,Seppuku,8.455938092258307,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
45,46,The Intouchables,8.453580955267856,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
46,47,Modern Times,8.44700069139053,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
47,48,Once Upon a Time in the West,8.440875530929636,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
48,49,Rear Window,8.435446561232224,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
49,50,Nuovo Cinema Paradiso,8.435330941625192,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,51,Alien,8.433392230434878,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
